event_id,timestamp,source,target,field,anomaly_type,expected_risk_level,reason
7,2026-05-18T10:56:26Z,internal_db.user_profile,shadow_api,auth_token,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
9,2026-05-18T10:46:38Z,internal_db.health_record,external_partner,email,external_unapproved,high,未声明字段或目标发生外部传输。
15,2026-05-18T10:39:45Z,internal_db.order_info,recommendation_service,address,frequency_anomaly,medium,短时间内同类字段传输频率异常。
41,2026-05-18T10:45:28Z,internal_db.health_record,external_partner,bank_card,partner_overreach,high,合作方接收超出声明范围的敏感字段。
48,2026-05-18T10:49:05Z,internal_db.risk_control,unknown_external,password,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
50,2026-05-18T10:50:22Z,internal_db.customer_service,fraud_detection_service,order_id,volume_spike,medium,单次传输 volume 明显高于正常水平。
62,2026-05-18T10:50:57Z,internal_db.marketing_profile,recommendation_service,gender,purpose_mismatch,medium,实际用途与声明用途不一致。
63,2026-05-18T10:46:59Z,internal_db.payment_info,shadow_api,private_key,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
68,2026-05-18T10:40:13Z,internal_db.payment_info,external_partner,id_card,partner_overreach,high,合作方接收超出声明范围的敏感字段。
74,2026-05-18T10:43:43Z,internal_db.order_info,external_partner,face_id,sensitive_exfiltration,high,高敏字段发生外部传输。
90,2026-05-18T10:53:52Z,internal_db.marketing_profile,external_partner,salary,partner_overreach,high,合作方接收超出声明范围的敏感字段。
92,2026-05-18T10:55:23Z,internal_db.order_info,shadow_api,password,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
96,2026-05-18T10:55:30Z,internal_db.order_info,fraud_detection_service,address,frequency_anomaly,medium,短时间内同类字段传输频率异常。
106,2026-05-18T10:42:26Z,internal_db.order_info,third_party_analytics,address,external_unapproved,high,未声明字段或目标发生外部传输。
110,2026-05-18T10:50:43Z,internal_db.health_record,external_partner,bank_card,partner_overreach,high,合作方接收超出声明范围的敏感字段。
122,2026-05-18T10:44:39Z,internal_db.health_record,risk_engine,name,purpose_mismatch,medium,实际用途与声明用途不一致。
125,2026-05-18T10:52:35Z,internal_db.location_trace,shadow_api,phone,unknown_target,high,数据流向未知外部目标。
128,2026-05-18T10:51:11Z,internal_db.health_record,shadow_api,private_key,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
138,2026-05-18T10:40:06Z,internal_db.audit_log,third_party_analytics,location,low_and_slow_exfiltration,medium,中敏字段以低速方式持续外传。
140,2026-05-18T10:50:01Z,internal_db.payment_info,external_partner,id_card,sensitive_exfiltration,high,高敏字段发生外部传输。
145,2026-05-18T10:46:31Z,internal_db.payment_info,external_partner,salary,partner_overreach,high,合作方接收超出声明范围的敏感字段。
147,2026-05-18T10:45:42Z,internal_db.order_info,fraud_detection_service,order_id,purpose_mismatch,medium,实际用途与声明用途不一致。
148,2026-05-18T10:41:16Z,internal_db.payment_info,external_partner,id_card,partner_overreach,high,合作方接收超出声明范围的敏感字段。
160,2026-05-18T10:52:14Z,internal_db.health_record,unknown_external,password,critical_field_leakage,high,critical 字段流向未知或影子外部接口。
163,2026-05-18T10:53:24Z,internal_db.location_trace,risk_engine,location,frequency_anomaly,medium,短时间内同类字段传输频率异常。
