timestamp,user,source,target,field,action,purpose,volume
2026-05-18T10:00:00Z,analyst_01,internal_db.user_profile,analytics_service,name,transfer,statistics,1
2026-05-18T10:00:05Z,analyst_01,internal_db.user_profile,analytics_service,age,transfer,statistics,1
2026-05-18T10:00:10Z,analyst_02,internal_db.order_info,analytics_service,order_id,transfer,business_analysis,5
2026-05-18T10:00:15Z,analyst_02,internal_db.order_info,analytics_service,amount,transfer,business_analysis,5
2026-05-18T10:00:20Z,service_bot_01,internal_db.user_profile,external_crm,email,transfer,customer_service,1
2026-05-18T10:01:00Z,analyst_03,internal_db.user_profile,analytics_service,name,transfer,statistics,2
2026-05-18T10:01:05Z,analyst_03,internal_db.user_profile,analytics_service,age,transfer,statistics,2
2026-05-18T10:01:10Z,analyst_04,internal_db.order_info,analytics_service,order_id,transfer,business_analysis,4
2026-05-18T10:01:15Z,analyst_04,internal_db.order_info,analytics_service,amount,transfer,business_analysis,4
2026-05-18T10:01:20Z,service_bot_02,internal_db.user_profile,external_crm,email,transfer,customer_service,1
2026-05-18T10:02:00Z,analyst_05,internal_db.user_profile,analytics_service,name,transfer,statistics,1
2026-05-18T10:02:05Z,analyst_05,internal_db.user_profile,analytics_service,age,transfer,statistics,1
2026-05-18T10:02:10Z,analyst_06,internal_db.order_info,analytics_service,order_id,transfer,business_analysis,3
2026-05-18T10:02:15Z,analyst_06,internal_db.order_info,analytics_service,amount,transfer,business_analysis,3
2026-05-18T10:02:20Z,service_bot_03,internal_db.user_profile,external_crm,email,transfer,customer_service,1
2026-05-18T10:03:00Z,support_01,internal_db.order_info,external_crm,order_id,transfer,customer_service,1
2026-05-18T10:03:05Z,analyst_07,internal_db.user_profile,analytics_service,name,transfer,statistics,2
2026-05-18T10:03:10Z,analyst_07,internal_db.user_profile,analytics_service,age,transfer,statistics,2
2026-05-18T10:03:15Z,analyst_08,internal_db.order_info,analytics_service,amount,transfer,business_analysis,2
2026-05-18T10:03:20Z,analyst_08,internal_db.order_info,analytics_service,order_id,transfer,business_analysis,2
2026-05-18T10:04:00Z,service_bot_04,internal_db.user_profile,external_crm,email,transfer,customer_service,1
2026-05-18T10:04:05Z,analyst_09,internal_db.user_profile,analytics_service,name,transfer,statistics,1
2026-05-18T10:04:10Z,analyst_09,internal_db.user_profile,analytics_service,age,transfer,statistics,1
2026-05-18T10:04:15Z,analyst_10,internal_db.order_info,analytics_service,order_id,transfer,business_analysis,3
2026-05-18T10:05:00Z,export_job_01,internal_db.user_profile,external_partner,id_card,export,partner_sync,1
2026-05-18T10:05:05Z,support_02,internal_db.user_profile,external_crm,phone,transfer,customer_service,1
2026-05-18T10:05:10Z,export_job_02,internal_db.payment_info,external_partner,bank_card,export,settlement_export,1
2026-05-18T10:05:15Z,unknown_job_01,internal_db.user_profile,unknown_external,password,export,unknown,1
2026-05-18T10:05:20Z,marketing_01,internal_db.user_profile,analytics_service,name,transfer,marketing,1
2026-05-18T10:06:00Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
2026-05-18T10:06:08Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
2026-05-18T10:06:16Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
2026-05-18T10:06:24Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
2026-05-18T10:06:32Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
2026-05-18T10:06:40Z,bulk_sync_01,internal_db.user_profile,external_crm,email,transfer,customer_service,10
