timestamp,user,source,target,field,action,purpose,volume
2026-05-18T09:25:05Z,analyst_15,internal_db.audit_log,recommendation_service,device_id,sync,recommendation,10
2026-05-18T09:27:04Z,feature_job_13,internal_db.risk_control,external_payment_gateway,amount,query,business_integration,6
2026-05-18T09:22:52Z,feature_job_25,internal_db.location_trace,analytics_service,location,query,statistics,7
2026-05-18T09:29:31Z,export_job_08,internal_db.user_profile,shadow_api,phone,export,unknown,1
2026-05-18T09:30:27Z,partner_job_09,internal_db.payment_info,analytics_service,amount,export,statistics,155
2026-05-18T09:19:36Z,report_job_04,internal_db.customer_service,data_warehouse,order_id,query,business_analysis,4
2026-05-18T09:15:10Z,analyst_19,internal_db.payment_info,external_payment_gateway,order_id,query,business_integration,11
2026-05-18T09:29:24Z,partner_job_04,internal_db.audit_log,data_warehouse,device_id,sync,business_analysis,137
2026-05-18T09:07:14Z,report_job_11,internal_db.user_profile,external_crm,phone,transfer,customer_service,1
2026-05-18T09:13:11Z,report_job_02,internal_db.audit_log,recommendation_service,device_id,transfer,recommendation,7
2026-05-18T09:22:31Z,risk_job_30,internal_db.device_log,recommendation_service,device_id,query,recommendation,5
2026-05-18T09:03:23Z,feature_job_30,internal_db.audit_log,data_warehouse,device_id,transfer,business_analysis,11
2026-05-18T09:03:51Z,analyst_24,internal_db.customer_service,feature_platform,order_id,sync,feature_engineering,2
2026-05-18T09:17:23Z,risk_job_04,internal_db.order_info,recommendation_service,order_id,query,recommendation,9
2026-05-18T09:33:15Z,bulk_sync_04,internal_db.payment_info,external_partner,bank_card,transfer,partner_sync,3
2026-05-18T09:07:56Z,risk_job_10,internal_db.order_info,third_party_analytics,product_id,query,business_integration,4
2026-05-18T09:25:47Z,feature_job_26,internal_db.marketing_profile,external_ad_platform,age,sync,business_integration,4
2026-05-18T09:08:52Z,risk_job_07,internal_db.location_trace,risk_engine,location,query,risk_control,4
2026-05-18T09:01:38Z,sync_worker_30,internal_db.order_info,external_crm,order_id,query,customer_service,11
2026-05-18T09:03:30Z,service_bot_12,internal_db.device_log,feature_platform,device_id,transfer,feature_engineering,9
2026-05-18T09:25:54Z,feature_job_09,internal_db.location_trace,external_crm,phone,query,customer_service,12
2026-05-18T09:34:04Z,partner_job_03,internal_db.health_record,third_party_analytics,address,transfer,unauthorized_export,8
2026-05-18T09:12:15Z,report_job_22,internal_db.risk_control,analytics_service,amount,query,statistics,9
2026-05-18T09:34:32Z,bulk_sync_02,internal_db.user_profile,analytics_service,age,sync,statistics,2
